fec.gov
title,Two Year Summary
description,2016 Operating Expenditures
timestamp,Sun Sep 18 19:27:51 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00580100
cmte_nm,DONALD J. TRUMP FOR PRESIDENT, INC.
"Payee Name","Purpose","City","State","Zip","Payment Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","10/05/2015","$3,130.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280146","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","04/25/2016","$15,961.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007343","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","04/30/2016","$11,262.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007343","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","07/13/2016","$9,005.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700802","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","07/31/2016","$24,825.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700802","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","06/08/2016","$5,044.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798598","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","06/27/2016","$25,262.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798598","","","","P",
"1 WAY AUDIO VISUAL SERVICES","AUDIO VISUAL SERVICES","NEW YORK","NY","10001","09/04/2015","$2,732.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291094","","","","P",
"4 RIVERS SMOKEHOUSE","MEETING EXPENSE: MEALS [AMEX: SB23.513914]","TALLAHASSEE","FL","32303","03/15/2016","$322.00","X","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007343","","","","P",
"405 PUB AND GRILL","TRAVEL: FOOD [LINDBERG: SB23.248849]","LACONIA","NH","03246","12/14/2015","$10.00","X","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280146","","","","P",
"507 FOUNDRY ST LLC","RENT AND UTILITIES","BROCKTON","MA","02301","04/08/2016","$3,725.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007344","","","","P",
"7301 PARTNERS, LLC","RENT","OKLAHOMA CITY","OK","73116","11/05/2015","$1,026.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280146","","","","P",
"7301 PARTNERS, LLC","RENT AND UTILITIES","OKLAHOMA CITY","OK","73116","01/07/2016","$1,450.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575924","","","","P",
"7301 PARTNERS, LLC","RENT","OKLAHOMA CITY","OK","73116","04/18/2016","$2,850.00","","M5","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007344","","","","P",
"A C & T CO","EVENT STAGING EXPENSE [AMEX: SB23.599732]","HAGERSTOWN","MD","21740","04/22/2016","$917.00","X","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596631","","","","P",
"A-D DISTRIBUTING CO., INC.","TTW - EVENT STAGING EXPENSE - FLAGS","DES MOINES","IA","50309","06/15/2015","$1,769.00","","Q2","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201507159000184816","","","","P",
"AAA AIRPORT LIMO INC","TRAVEL: GROUND TRANSPORTATION [AMEX: SB23.599732]","PALM BEACH GARDENS","FL","33410","04/22/2016","$264.00","X","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596631","","","","P",
"AAL USA, INC.","FACILITY RENTAL","HUNTSVILLE","AL","35824","02/28/2016","$2,500.00","","M3","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201603209011931670","","","","P",
"ABBOUD, MICHAEL","PAYROLL","NEW YORK","NY","10022","07/14/2016","$2,083.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700802","","","","P",
"ABBOUD, MICHAEL","PAYROLL","NEW YORK","NY","10022","07/29/2016","$2,083.00","","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700803","","","","P",
"ABBOUD, MICHAEL","PAYROLL","NEW YORK","NY","10022","06/15/2016","$1,538.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798598","","","","P",
"ABBOUD, MICHAEL","PAYROLL","NEW YORK","NY","10022","06/30/2016","$2,083.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798599","","","","P",
"ABC LIMO SERVICES","TRAVEL: GROUND TRANSPORTATION [AMEX: SB23.599732]","ALEXANDRIA","VA","22312","04/21/2016","$248.00","X","M6","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596631","","","","P",
"ABC LIMO SERVICES","TRAVEL: GROUND TRANSPORTATION [AMEX: SB23.1615120]","ALEXANDRIA","VA","22312","06/13/2016","$331.00","X","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700803","","","","P",
"ABC LIMO SERVICES","TRAVEL: GROUND TRANSPORTATION [AMEX: SB23.1615120]","ALEXANDRIA","VA","22312","06/16/2016","$800.00","X","M8","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201608209023700803","","","","P",
"ABC LIMO SERVICES","TRAVEL: GROUND TRANSPORTATION [AMEX: SB23.11631135]","ALEXANDRIA","VA","22312","05/27/2016","$474.00","X","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798599","","","","P",
"ABC PROPERTY MANAGEMENT","RENT AND UTILITIES","MYRTLE BEACH","SC","29577","10/30/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280147","","","","P",
"ABC PROPERTY MANAGEMENT","RENT AND UTILITIES","MYRTLE BEACH","SC","29577","12/01/2015","$1,000.00","","YE","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201601319005280147","","","","P",
"ABC PROPERTY MANAGEMENT","RENT AND UTILITIES","MYRTLE BEACH","SC","29577","01/05/2016","$1,000.00","","M2","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201602209008575924","","","","P",
"ABE LINCOLN FLAGS BANNERS & SIGNS","EVENT EXPENSE: BANNERS","FAIRFAX","VA","22031","06/16/2016","$360.00","","M7","2016","http://docquery.fec.gov/cgi-bin/fecimg/?201609129030798599","","","","P",
"ACCESS A/V","AUDIO VISUAL SERVICES","CONCORD","NH","03301","07/10/2015","$1,067.00","","Q3","2015","http://docquery.fec.gov/cgi-bin/fecimg/?201512179004291094","","","","P",
